Year,Annual rain,Apr-Oct rain,Wheat Yld,Sheep DSE,Wheat GM,Sheep GM
1950,422.8,192.7,1.502688,6.762,307.9792,144.973899
1951,398.8,333.3,3.180535,15.198,761.897125,325.837521
1952,455.8,328.1,2.417486,14.886,552.05865,319.148397
1953,345.7,269.1,2.867941,11.346,675.933775,243.252567
1954,300.4,193.5,0.349601,6.81,8.720275,146.002995
1955,461.4,280,2.813622,12,660.99605,257.274
1956,383.4,324.8,4.324254,14.688,1076.41985,314.903376
1957,240.7,159.9,1.185377,4.794,234.138675,102.780963
1958,427.4,301,3.948225,13.26,973.011875,284.28777
1959,189.8,109.4,0.455618,1.764,37.87495,37.819278
1960,467.7,361.9,3.682715,16.914,899.996625,362.627703
1961,309.6,194.2,1.296992,6.852,251.4128,146.903454
1962,328.1,176.1,2.13421,5.766,474.15775,123.620157
1963,324.3,282,2.157164,12.12,480.4701,259.84674
1964,356.6,299.3,3.464656,13.158,840.0304,282.100941
1965,258.8,203.5,2.411302,7.41,550.35805,158.866695
1966,392.6,175.1,0.902919,5.706,156.462725,122.333787
1967,151.6,115.5,0.73696,2.13,110.824,45.666135
1968,559.6,365.8,2.864367,17.148,674.950925,367.644546
1969,370.3,253.1,2.189162,10.386,489.26955,222.670647
1970,329.2,228.8,0.79423,8.928,126.57325,191.411856
1971,346.5,241.2,2.023698,9.672,443.76695,207.362844
1972,280.1,140.9,0.940324,3.654,166.7491,78.339933
1973,590.2,310.8,3.135141,13.848,749.413775,296.894196
1974,568.8,406,3.465392,19.56,840.2328,419.35662
1975,384.6,266.8,2.268075,11.208,510.970625,240.293916
1976,259.6,195.9,0.408132,6.954,24.8163,149.090283
1977,334.3,124.3,0.145698,2.658,-45.07305,56.986191
1978,378,306.2,2.899058,13.572,684.49095,290.976894
1979,452.2,282.2,3.678578,12.132,898.85895,260.104014
1980,341.4,307.1,1.945438,13.626,422.24545,292.134627
1981,401.6,304.8,3.344656,13.488,807.0304,289.175976
1982,130.1,77.9,0.090656,0,-60.2096,0
1983,288.4,242.9,2.021662,9.774,443.20705,209.549673
1984,305,251.3,3.58427,10.278,872.92425,220.355181
1985,405.6,317.8,3.777926,14.268,926.17965,305.898786
1986,341.2,301,4.644091,13.26,1164.375025,284.28777
1987,381,217.3,2.421319,8.238,553.112725,176.618601
1988,295.2,191.7,1.750519,6.702,376.132725,143.687529
1989,490.4,237.8,1.937159,9.468,419.968725,202.989186
1990,413,277.9,2.136025,11.874,474.656875,254.572623
1991,296.8,222.4,3.082358,8.544,734.89845,183.179088
1992,621.6,367.2,0.876016,17.232,149.0644,369.445464
1993,367,226.8,2.713041,8.808,633.336275,188.839116
1994,217,162.1,2.085984,4.926,460.8956,105.610977
1995,431.8,301.6,2.373665,13.296,540.007875,285.059592
1996,320.4,252.2,3.781241,10.332,927.091275,221.512914
1997,406.2,186.8,0.284206,6.408,-9.26335,137.384316
1998,331.8,195.7,1.503609,6.942,308.232475,148.833009
1999,252.6,161.6,0.910982,4.896,158.68005,104.967792
2000,373,243.5,2.587681,9.81,598.862275,210.321495
2001,334.2,300.2,3.482027,13.212,844.807425,283.258674
2002,173.8,136.6,0.939897,3.396,166.631675,72.808542
2003,329.2,200.7,2.337201,7.242,529.980275,155.264859
2004,275.6,182.6,2.055387,6.156,452.481425,131.981562
2005,325.8,249.8,3.071311,10.188,731.860525,218.425626
2006,227.2,99,0.414948,1.14,26.6907,24.44103
2007,370.5,154.6,0.417673,4.476,27.440075,95.963202
