tau,dqrng,mt19937,sitmo,rnorm
105,-1.848597865,0.331330118,1.380045642,-0.382386868
106,0.221497028,0.57870824,0.378088003,0.106004041
107,0.761625368,0.467438053,-1.539646795,1.751376697
108,0.922608196,0.28714598,1.049882201,0.072623505
109,-1.633323792,-0.13766842,0.366291608,-0.378501244
110,1.431789086,0.283320515,0.498939403,-0.15086573
111,-0.653187282,0.210358446,0.352313994,-0.14845746
112,-0.851123705,1.046073637,-0.361765393,1.774795919
113,2.074674326,1.176969625,-2.081193658,0.6980425
114,-0.046684002,0.430383806,-0.980508235,0.220842054
115,-0.821516332,-1.550502646,-0.10696532,-1.167204555
116,0.130980335,0.782681707,0.880663106,-0.777711171
117,-0.934066697,0.054237839,-0.569649891,-0.549571011
118,0.917841357,-0.606041291,0.866126334,-0.794743664
119,-0.653767488,-0.338877838,-0.238984059,-0.285751569
120,0.773959697,0.284840692,1.149022134,-0.195640666
121,1.38832305,0.215452116,0.794527807,0.533892054
122,0.733942758,0.378298541,-0.595743157,-0.087976725
123,-0.064845893,0.272385498,-1.445676224,1.251214545
124,-0.135978063,-1.168221727,-0.662820036,-0.278052498
125,0.129941892,-1.119404884,0.779371616,-0.34415681
126,0.786067122,-1.0740017,-1.92E-06,-1.037825661
127,1.915096823,0.575646183,-1.59402903,1.780429572
128,-1.007507604,-0.911780116,-1.20871119,0.088674668
129,1.479168692,0.361300686,-1.832272764,-1.813568781
130,1.713928208,-1.731775227,-1.282603712,-0.261883013
131,-0.403191586,0.142022924,-0.52569099,0.339420259
132,-0.289087307,0.300530791,1.874638959,-0.70624427
133,0.924287295,0.427069843,-1.013856839,1.734871298
134,-1.837797918,0.057379361,-0.194050394,-0.93190748
135,0.893188131,-1.18522742,-1.325311503,0.432448248
136,-1.116106137,-1.855761478,-1.392728674,1.268658311
137,-0.483893774,0.735621306,-0.754102526,-0.946108087
138,-0.189596867,0.594511834,0.121203295,-1.557172001
139,-0.657237132,-1.30653408,-1.781498164,-0.552956883
140,1.796398519,-0.245765816,0.911496004,-0.2161
141,-0.239807349,-0.911652456,-1.267632148,-0.17637226
142,0.32924675,0.101711145,-0.179815999,-0.673104693
143,-0.41928942,-2.794313056,1.774907033,2.027203673
144,-1.918593788,-1.055631943,0.945057731,-2.409387883
145,-0.216614814,-0.181148915,0.246886603,-0.469871236
146,-2.322678368,-1.471871918,-1.510237519,-0.532522094
147,0.325154677,-0.2996325,0.335686343,-0.025414106
148,0.408985987,1.958081132,-0.636225233,0.222472463
149,1.114133145,0.344869013,-1.789246421,-0.282308007
150,-1.277937959,1.462252848,1.342521079,0.383121845
151,-0.235382519,0.568809635,-0.21473781,0.234294145
152,1.616260028,-0.616917159,1.410687325,-0.363214602
153,0.455760576,0.176405986,1.072007371,1.619525961
154,-0.472792295,-1.4381606,-1.475117479,0.308638446
155,1.4678953,1.469832423,-0.598010677,0.377625679
156,-0.518881097,-1.816799373,-0.095992407,-0.707959406
157,-0.245121996,-0.341196724,0.138909573,0.70669969
158,0.077909579,-1.081602688,1.205472492,0.574759224
159,0.775766864,0.084798814,0.955692365,0.43383566
160,-1.17770318,-1.674623417,-0.696901151,1.397688641
161,1.834042126,0.461464423,0.981023738,1.316488199
162,-0.285594583,0.974121768,1.403269311,-1.55493286
163,-0.227519013,0.765300915,0.264213544,0.319618253
164,1.814669874,0.139020219,0.445274253,-0.439272881
165,1.431183552,-0.960295226,-2.117894051,0.961187444
166,-1.43857401,1.968396151,-0.728586932,-1.181597041
167,1.025170509,-0.21427672,0.427324582,-0.150617966
168,-0.442069386,0.899428113,0.912367337,-0.393574846
169,0.519796303,-0.650328731,0.272468884,-0.292917951
170,0.449215306,-1.273975064,0.288235203,0.907902181
171,0.939586219,0.725102406,0.671169007,0.436444384
172,-0.630586699,0.71525947,0.10414859,-0.787449322
173,0.504513509,1.276205042,1.38686117,0.614839949
174,0.512194548,-0.056569457,-0.764209819,0.926938881
175,-0.206758422,2.238976414,-0.483042013,-0.330988393
176,0.607137028,0.268372457,0.328417241,2.060032492
177,1.718949415,-0.825551081,0.420281226,-0.01615699
178,1.240597616,-0.666248964,0.872616095,1.37761408
179,-0.059992561,-0.930697757,-0.530078426,-0.882628545
180,-0.399020666,-1.010430945,-1.069496305,-1.153007842
181,-0.338862728,-0.7088356,-0.415752144,0.025963902
182,0.421860983,1.125839545,-0.237431174,-0.974041408
183,1.579344607,0.100952055,-1.032362917,1.1346361
184,0.125680228,1.017283392,0.787472477,-2.052731904
185,1.740061144,-0.808499589,1.364765525,-0.544387495
186,-0.386004435,-0.089526359,0.581594077,-0.010866234
187,-0.881353223,-1.162899019,-0.474866458,-0.088804354
188,-0.32165668,-0.65065775,0.454167384,-0.552973105
189,0.28856115,0.533403948,-0.187128566,1.227350488
190,0.599103765,-0.743824467,1.788857201,0.319289394
191,0.984789183,1.624950258,-0.987414075,0.332739952
192,-0.131792123,-1.788582298,-1.427482283,-1.226100194
193,0.095169851,-0.391750346,-0.131080423,-0.223094914
194,-1.087798025,1.161912826,-1.149084029,-0.581574443
195,0.725062393,-0.303301835,0.023240747,-0.449661661
196,1.580661316,0.368717721,-0.038681031,-0.245612457
197,0.406112556,1.103715723,-0.192796705,-0.220643245
198,0.766903199,0.18611504,0.934674816,1.603964192
199,2.487075075,1.482192003,-0.557775277,1.789104206
200,-0.987988246,-0.89478688,0.158629735,-1.814808962
201,0.566120086,-1.595872817,0.602254965,1.169317335
202,1.782246596,1.254302869,-0.046003924,1.202835961
203,-1.395539942,-1.287075835,1.105308466,-0.672429281
204,-0.176225034,-0.007114773,1.471277259,2.17711812
205,1.788672009,-0.465576535,0.197343111,0.672481075
206,0.70000929,0.359413926,-1.308007074,0.865117956
207,0.037785218,-0.615742144,-1.074896899,2.528732004
208,-1.146192709,0.317952523,1.22999876,0.651479023
209,-0.548916801,-0.477032525,-0.655988999,-1.693141778
210,0.301418818,2.10712214,1.218621148,0.77085358
211,0.059384281,-0.043794209,0.027615957,-0.562587194
212,-0.549161951,-0.402419668,1.568942177,-1.942389282
213,-0.476024539,-0.783728522,1.525721196,-1.142470226
214,-1.321956908,-1.030859145,1.001451827,-1.884419357
215,-0.531413289,-1.437343908,-0.075765607,0.346873294
216,-0.471672838,0.033497153,-0.668137782,-0.469199969
217,1.401288135,-0.86059987,0.72551808,-0.280500309
218,-0.990523156,-2.853324423,-0.025136919,2.274207428
219,0.271218944,0.626550178,-0.624602864,-0.669771761
220,1.971937044,-0.954016745,-0.042473485,-0.68399408
221,0.48846739,1.139717118,2.16188994,1.61848358
222,-1.386143336,0.867685126,-0.246847335,0.264554561
223,-1.520233129,0.451327681,-0.701398857,-0.662783338
224,0.637335523,-0.650063927,1.377879951,-0.999789531
225,1.70198192,2.239911782,-0.146285222,1.315635186
226,0.280982275,-1.155093646,-0.197883052,1.791638732
227,1.850521059,0.956893025,1.251607829,-1.042659947
228,1.018848304,0.715804781,-0.498044837,-0.280329928
229,0.994068055,0.35599459,0.228220285,0.317303178
230,1.471714507,0.208231581,-1.663649243,-0.557706088
231,-0.080957973,-0.4347178,0.241867139,0.925088546
232,0.346127883,-1.965786978,-0.359748238,-0.41710164
233,0.451369207,0.065853989,0.852822614,-1.153701314
234,-0.234695947,-0.676433944,1.662773834,0.019285623
235,0.057350888,-0.092388419,3.798271862,1.382578819
236,0.719230748,-1.592076149,-1.177935668,-0.796825712
237,-0.181998408,0.279802598,-0.485914846,-2.010410949
238,-0.614190606,1.285109703,-0.34690048,0.727701074
239,-0.566536475,1.664410517,0.618975135,0.853250884
240,0.325341509,0.014916423,0.593516688,-0.980261645
241,0.259131098,0.862201222,1.801795005,0.901244174
242,0.813558054,-0.47587545,0.52031937,-0.143160474
243,0.302279288,-0.813732862,-0.427430112,-1.070939294
244,-0.098722546,1.010699761,0.726960105,-0.99726715
245,1.267804974,0.566008781,1.595071936,-0.981810439
246,-0.499388469,0.237180838,0.869179587,-0.699835961
247,-2.072110885,-0.454276371,-1.048412731,-0.38079609
248,-1.342864414,1.722834344,-1.523170125,0.170048872
249,1.50295409,0.082350448,0.219019144,0.815223147
250,-1.895660884,-0.505124178,-1.085598285,0.670507239
251,1.071143333,-0.040919334,0.030476255,-0.074557109
252,2.086343389,0.564569744,-0.074368989,1.337916245
253,-0.230910131,-0.064788395,0.99745305,-0.009357795
254,0.750076374,-1.246382859,0.213872515,0.717279243
255,-0.274861012,0.891527316,-0.203247546,-1.050183477
256,1.024714585,0.233739551,0.517214159,-1.297781894
257,1.170692716,0.572639954,-0.129203185,-1.348365272
258,0.457583847,0.092360215,0.109690497,0.793561897
259,0.914481627,-1.965198649,0.406825088,0.936775923
260,0.99546756,0.315137184,-0.165552551,2.000686077
261,0.995970723,-0.571094427,1.964396659,-0.48950115
262,-1.331700515,-0.070187527,0.858494048,-1.458070606
263,-1.083267128,0.525723047,-0.247917059,-1.71726608
264,0.210632515,-0.5761943,-0.310996624,0.680256203
265,0.733480224,-0.257579953,0.090466908,-0.624854715
266,0.559315256,0.079894438,1.859210618,-1.307504048
267,-1.62342831,1.991580479,-1.153388262,0.228860576
268,-0.814841983,-0.695893354,0.094007266,2.379093569
269,-0.714807182,1.73586352,0.764701978,-0.519120803
270,0.488734095,-0.29392644,-0.160319962,-1.614658177
271,0.142278973,0.187378639,-1.602050348,-0.100380853
272,-0.577916265,-0.107463229,-0.975293844,-0.111225229
273,0.610964094,-0.022142302,-0.771709315,0.636445007
274,0.75668683,-0.665040833,-0.796694357,0.269925917
275,-0.411404038,0.890567915,-0.522555571,0.042934406
276,-0.085360559,0.990015925,0.140275406,1.111992497
277,0.711631539,-0.744678755,0.850314641,-0.495338229
278,-2.039546644,1.548985921,0.915531427,0.724031901
279,-0.522104615,1.606958995,-0.444404767,-1.872863047
280,1.782523819,-0.925299813,-1.209658382,-1.702749597
281,-1.010059931,-1.230672102,-0.535706163,0.148805997
282,-0.359314504,-0.081904635,1.065922482,0.703102369
283,-2.349597838,0.823985393,0.229375937,0.250978454
284,-0.654166659,-0.604536242,-0.407374909,-0.257162382
285,0.295703425,1.16198319,-1.49393371,-0.810192132
286,0.188735531,-0.520089515,-0.852352806,0.483617822
287,-1.539166307,-0.501659824,-0.395728299,0.868744466
288,-0.094665678,-2.567881131,2.672253791,0.211111509
289,-0.810567918,1.254790391,0.333214816,0.268706938
290,0.551331042,0.718543955,-0.64256818,0.894474069
291,-1.152450948,0.476403342,0.029520217,0.483153578
292,-0.267528373,-1.422284417,-0.085153665,-0.634895649
293,-0.412281858,0.691301736,0.226970351,0.381319569
294,1.234405045,0.672528259,1.448663827,-2.202023467
295,-1.795928238,-0.156191093,0.199641052,0.228792843
296,-1.626241214,0.567427257,0.377294777,0.044762238
297,1.424209796,0.029412774,1.815759067,1.198898621
298,-1.21622238,-0.462418378,-0.53820152,-0.238620191
299,-0.980428084,-0.873757247,-0.044197123,1.502849184
300,-1.540564531,0.171900923,-0.532974956,-1.143278476
301,-1.425390741,-0.263460902,-0.303115792,1.577085506
302,-0.10529351,0.433742152,-0.750835019,-0.063524816
303,-0.040369338,1.125116256,-0.618804316,-0.158383937
304,-1.498490017,-1.89159713,-0.473761092,-1.863140042
305,-0.806804232,-0.585065213,0.171109885,-0.509609668
306,0.870506502,2.027520224,1.393190303,0.559071574
307,0.124645524,0.018939142,0.669161335,-0.555286954
308,1.578419068,0.149662621,0.43718593,-0.873504649
309,1.253312946,-1.968735649,0.497813369,0.103952014
310,0.750991251,-0.983738987,-1.340367082,-0.790786536
311,-0.685789427,-1.120521047,-0.014679731,0.823253262
312,0.74501941,-0.707804898,-0.075866527,-0.63018062
313,-2.400132011,0.277107727,0.585168645,-1.759207524
314,-0.910892144,-0.400307589,-0.84179677,0.419411405
315,-0.163279303,0.115481933,-0.600462507,0.438512045
316,1.191960966,-0.438986236,-0.770860161,-1.451755067
317,2.279831124,-0.220521412,-0.29691881,0.251626275
318,-0.170697826,1.080835464,0.304818777,0.576502664
319,-1.655154892,1.777279572,0.118884142,1.091562395
320,0.354113775,0.387619262,0.563829989,-1.445951667
321,-0.095962517,0.590042585,-0.551378336,-1.566844404
322,0.427057814,-0.273641642,-1.451731647,-0.23345957
323,0.554913748,-0.177770445,-0.469817257,-0.886034278
324,-0.53719936,-0.839341117,-1.002713908,1.991267715
325,0.093465153,-1.144778371,0.800144233,-2.940474517
326,0.59425945,0.457852521,-0.253803507,0.377127335
327,0.067928126,-1.057908859,1.382473902,0.960941112
328,-0.194207962,0.762224915,0.761988308,0.036318061
329,-0.831758383,-0.881128591,-3.054469634,-0.781463303
330,-0.267791065,-2.155682445,-1.576114741,-0.590851422
331,-0.272315073,-0.153676206,0.549574376,-0.518269144
332,-1.060526771,2.197625378,-0.31809026,-2.268126547
333,0.110024943,1.615220277,0.053707063,-1.460079982
334,-1.230294428,-0.721531187,0.212146684,0.765817891
335,1.430808478,-0.118390173,0.902676102,0.355168874
336,0.26017729,0.201793232,-0.194446054,0.170098874
337,-1.445496146,0.54879321,-1.975177536,-0.920323739
338,-1.014324951,-0.633667709,-0.647962814,-0.033743892
339,-0.396320216,-0.880144216,-0.294476816,0.693578034
340,-2.930755006,-0.217318526,1.320218379,-0.062703802
341,-1.384097818,-0.346908377,1.005147136,0.2483993
342,0.909369298,0.098952963,-0.354153356,-1.240640515
343,-0.929894849,-0.408607301,0.711591787,-1.922282203
344,1.913244464,-0.094535588,-1.581054623,1.685070543
345,0.225450713,-0.465328017,-0.825270644,1.572927853
346,0.158054985,0.867048334,-0.299852963,-0.864884603
347,-1.233173053,0.958962176,0.216104116,-0.695042405
348,-0.204127533,-0.412626341,0.700111109,-0.168624157
349,0.831825559,1.737264271,0.521741548,-0.011222835
350,-1.478673078,0.761898201,0.432188437,1.395040205
351,0.03947244,0.555513228,1.275460601,0.336115504
352,0.591139187,-0.39563881,1.108795052,-1.655677596
353,0.324949832,0.89281751,0.14100932,0.736132259
354,-0.403059955,0.736835779,0.313902474,-0.375871417
355,-0.206756531,0.207269407,0.103183566,-1.209242726
356,-0.424820513,0.046884552,0.828386102,-0.863893001
357,-1.629322158,2.44619606,0.064946992,-2.19314855
358,0.949660205,1.963194501,-0.072460966,-0.961454597
359,0.046874512,-0.413933383,-0.14800272,1.634577007
360,1.950577887,-0.780921928,-1.134502629,0.725268864
361,-0.43229654,1.866762484,0.270899106,0.686567889
362,1.866195534,-0.573619355,0.682483259,1.933926277
363,0.602987589,1.113655387,1.753109573,-0.917884354
364,-0.114613476,0.623700033,-0.323924481,1.106732345
365,-0.420913654,-0.755536861,-0.950342913,-0.521422973
366,-0.986809131,-0.34802606,1.182281993,-1.484227317
367,0.011648844,-1.232365706,-0.98437863,-0.982470471
368,0.723378148,-1.438200309,-1.019482621,-1.06323962
369,-0.905850538,1.779322508,-0.67585655,1.65658527
370,1.008373225,-0.824024074,1.105226513,-0.195930259
371,-1.304837197,0.633521481,0.012013865,0.274852189
372,-0.418234096,0.024907538,1.035556732,-0.263465824
373,0.898347887,0.025918982,0.050519435,0.67503853
374,-1.768402194,-1.624145453,0.017224717,0.463093834
375,0.600274705,0.175712406,0.568994511,0.972632105
376,-0.313842161,-1.292576263,-1.189875167,1.66936844
377,-1.695052767,-1.166766275,-0.889326428,-0.695363586
378,0.47037402,-0.506504322,-0.720669369,0.223730738
379,-0.668081424,0.185118005,0.301776052,-0.402569352
380,3.006138667,0.335917445,-0.184939029,-0.913783054
381,0.877262515,-1.17489425,0.211316104,2.004700195
382,0.626307867,0.497859583,-0.711253782,0.717397305
383,0.290886121,-0.627006025,0.067996215,0.117495391
384,-0.150363353,1.219727773,-0.600610482,0.166752145
385,1.639118897,-0.850712386,1.751854885,-1.050479231
386,0.402270501,0.276268215,1.150126377,-1.2941598
387,-0.637390088,-1.015343019,0.293920475,1.307234075
388,0.411799083,-0.493660858,1.120065707,-0.627346049
389,1.183916145,-1.302950339,1.285150848,0.989274424
390,-0.247358602,0.378422832,-1.680325478,-1.564428285
391,-1.145249028,1.375207508,-0.010466512,-1.423933484
392,0.441008222,0.214809427,0.173564183,-0.862672212
393,0.381539268,0.37127151,-0.664619358,-0.906142764
394,1.277388483,0.24605923,0.525639564,-1.929402258
395,-0.071847228,0.114239731,1.35119325,0.824149629
396,-1.4807582,-0.206754265,0.893333795,-0.790120524
397,0.593340156,-0.901275345,-2.078926677,0.19897544
398,1.88986831,-1.008437409,0.101865874,-0.618926552
399,-1.253611296,-0.922011828,-1.909732338,0.631348805
400,1.042955222,0.590223166,-1.036899739,0.344101107
401,-0.112665487,-0.897161829,0.826590466,1.530412945
402,-0.570280507,-0.718105975,-1.045784327,-0.369664821
403,-0.021435959,1.120530226,-0.508936995,-0.485022588
404,-0.931813125,-0.122871755,-0.363901135,-0.604112696
405,2.857815303,0.787150204,0.387052786,-0.551663166
406,0.336724141,0.080296074,0.114718689,-0.549597072
407,0.102694444,1.286217214,-0.722966196,-0.965005227
408,0.217402358,0.729574769,1.158333535,0.242542319
409,0.885445967,3.102022025,0.672988452,-0.888510722
410,-0.403501546,0.58639668,0.320249081,-0.617002224
411,-1.194962074,0.75844108,-0.486859305,0.755309938
412,1.464075386,0.17100676,-0.435636093,-0.812285074
413,-1.457768521,-0.243828803,1.501095109,-1.859214385
414,0.021927419,1.467173919,-0.225833477,0.643011111
415,-0.830123362,0.07476826,-0.479495247,1.664511564
416,-1.944540904,-1.623383967,-1.435497256,-0.404738892
417,0.111940167,-1.787165365,0.141406121,-0.096008012
418,1.384606288,-0.399913891,1.231761818,1.436224225
419,0.621441985,-0.750049059,0.563728921,0.617804594
420,-0.97153736,0.284949175,1.382632086,-0.135491012
421,-0.468056524,0.720776042,-1.275584473,-0.281688925
422,-1.221181936,-1.524596871,0.7817958,0.389613302
423,1.676987679,-1.552552318,-1.515073624,0.722879982
424,-0.087125848,0.427811487,0.202721378,-0.424004554
425,0.385588153,-0.676409145,-1.541691589,0.057776241
426,0.23135533,1.338071498,-0.631807096,-0.061195769
427,-0.528705593,1.080763561,-1.055781276,-1.416957227
428,-0.761523122,0.469128165,-0.013823197,-0.938315479
429,-0.195110476,0.013668858,1.101709614,-0.08635883
430,0.06835362,-0.58540044,0.032460114,0.02330842
431,-0.344976415,0.249894848,0.797654349,0.316208522
432,0.138096285,-0.41801676,-0.491785307,-0.364600227
433,0.910145059,1.061169198,-0.719123474,-1.725083013
434,-1.595882008,-0.396674676,0.560046182,-0.974864414
435,0.364783883,-0.015782514,-1.181666322,0.212020715
436,0.414177701,0.03136651,1.955484426,0.824575965
437,-0.914141745,-0.434019168,0.842013687,0.0134863
438,1.41245432,-1.737572751,-0.369037153,-0.016187086
439,1.139138917,-0.184237474,-0.418294257,-0.597638568
440,-0.825383871,-1.125353539,1.062621751,-1.059864833
441,-2.667414117,-0.251338728,-1.362980872,-0.931872141
442,1.096360311,0.225846228,-0.528355025,0.527342581
443,-2.436816064,-0.730299937,0.622215683,-0.438250706
444,0.63349401,0.067950257,-0.780415461,-0.404110845
445,-1.284803659,1.164357154,0.396472554,-0.451574806
446,0.698291694,-0.113255665,0.034997626,-0.841271852
447,-1.410028094,1.210888714,-0.316800689,0.275056865
448,-0.6451769,0.070859504,-0.668314734,-1.534131093
449,0.530022013,2.090276257,1.133261974,-0.782543781
450,0.144160711,1.555241955,-2.336023183,1.158512059
451,1.038258825,1.166808294,0.243568481,0.473443039
452,-1.444264207,-1.64508101,1.956306456,-0.094119388
453,-0.974473104,-0.900634248,0.442618614,0.625826762
454,1.021370073,-0.917052898,-0.294167316,-0.919480821
455,-0.270773364,-0.245059105,-0.781867512,-0.056760205
456,-1.735006348,-1.328966111,0.574536292,-0.645419841
457,0.747245206,-0.720848126,-2.251277465,1.479833434
458,-0.473462764,2.023859243,0.477077071,2.146756965
459,-0.558119147,0.189313938,1.529056926,-0.372819954
460,-0.784429057,-0.205974526,-2.14008809,0.902502153
461,-0.463621878,-0.560458104,-0.594219591,-1.019242647
462,0.575398218,1.564348156,-0.129403086,-1.057190904
463,0.55630095,-1.083220847,-0.033524823,-0.847467156
464,0.587588277,0.583134149,0.423979314,-0.771095215
465,-0.596587639,-0.311388428,0.009748778,0.318622797
466,0.667835449,0.152945174,0.419370537,0.682892282
467,0.23745611,1.528758169,1.369284857,1.168873507
468,0.998611727,-0.057425181,-0.062836318,1.350139163
469,-0.217607844,-0.24310624,2.198771125,1.276369817
470,-0.109804902,-0.3151732,-0.78145665,0.080775571
471,0.743675799,-0.574475302,0.231765333,-0.951378517
472,-0.102076448,-0.313896648,0.080310144,1.442725033
473,0.771395119,-0.422484947,0.154540916,0.97211986
474,0.930597037,-0.662512634,-0.499267834,-0.95427136
475,-0.213781745,-1.653101891,0.920381461,0.808221552
476,-0.269778245,-0.77003846,1.132542511,1.118481693
477,0.908877092,1.492958022,0.187473018,0.798961468
478,0.757550744,0.005380478,-1.34509042,1.153359891
479,-0.858152369,-0.234901125,-0.534530315,-0.145189657
480,-0.001595836,0.586516528,0.962395467,0.013716826
481,0.812296858,2.489709235,-0.190070664,-0.939453675
482,-0.346561796,0.433267936,-0.698007789,1.226389222
483,1.060189985,-1.572733099,-0.630771533,0.359704144
484,0.264446199,-0.806411271,0.525552057,-0.869336669
485,0.466827428,0.378671007,-0.863678034,-0.189295891
486,1.309363494,0.394539096,0.397441824,-0.046672343
487,0.16705301,-0.029971796,-0.314976184,0.109784136
488,2.06827723,-0.066735933,-1.117603506,-1.842167011
489,-1.481516802,0.629346152,1.031365955,0.671865824
490,0.099480204,1.164401006,0.355177991,0.04146555
491,0.831475211,-0.470296566,-0.677703874,-1.025522055
492,-0.433345217,0.075409972,0.856435361,1.339636355
493,0.294212225,-1.130373856,0.38649238,-0.140411986
494,-0.831775582,-0.150932259,-1.949115057,-0.04858067
495,-0.888540713,-0.511663166,0.782320611,1.327283033
496,0.834081824,-1.40435672,0.09543737,-0.634241542
497,-1.074901043,-0.259944395,-2.975058218,0.913924684
