tau,e(s),z(t)=z(s)+e(s),z(t)-z(s)=e(s)
268,-0.814841983,32.67591065,-0.814841983
269,-0.714807182,31.86106867,-0.714807182
270,0.488734095,31.14626148,0.488734095
271,0.142278973,31.63499558,0.142278973
272,-0.577916265,31.77727455,-0.577916265
273,0.610964094,31.19935829,0.610964094
274,0.75668683,31.81032238,0.75668683
275,-0.411404038,32.56700921,-0.411404038
276,-0.085360559,32.15560517,-0.085360559
277,0.711631539,32.07024461,0.711631539
278,-2.039546644,32.78187615,-2.039546644
279,-0.522104615,30.74232951,-0.522104615
280,1.782523819,30.22022489,1.782523819
281,-1.010059931,32.00274871,-1.010059931
282,-0.359314504,30.99268878,-0.359314504
283,-2.349597838,30.63337428,-2.349597838
284,-0.654166659,28.28377644,-0.654166659
285,0.295703425,27.62960978,0.295703425
286,0.188735531,27.92531321,0.188735531
287,-1.539166307,28.11404874,-1.539166307
288,-0.094665678,26.57488243,-0.094665678
289,-0.810567918,26.48021675,-0.810567918
290,0.551331042,25.66964883,0.551331042
291,-1.152450948,26.22097988,-1.152450948
292,-0.267528373,25.06852893,-0.267528373
293,-0.412281858,24.80100055,-0.412281858
294,1.234405045,24.3887187,1.234405045
295,-1.795928238,25.62312374,-1.795928238
296,-1.626241214,23.8271955,-1.626241214
297,1.424209796,22.20095429,1.424209796
298,-1.21622238,23.62516409,-1.21622238
299,-0.980428084,22.40894171,-0.980428084
300,-1.540564531,21.42851362,-1.540564531
301,-1.425390741,19.88794909,-1.425390741
302,-0.10529351,18.46255835,-0.10529351
303,-0.040369338,18.35726484,-0.040369338
304,-1.498490017,18.3168955,-1.498490017
305,-0.806804232,16.81840548,-0.806804232
306,0.870506502,16.01160125,0.870506502
307,0.124645524,16.88210775,0.124645524
308,1.578419068,17.00675328,1.578419068
309,1.253312946,18.58517235,1.253312946
310,0.750991251,19.83848529,0.750991251
311,-0.685789427,20.58947654,-0.685789427
312,0.74501941,19.90368712,0.74501941
313,-2.400132011,20.64870653,-2.400132011
314,-0.910892144,18.24857452,-0.910892144
315,-0.163279303,17.33768237,-0.163279303
316,1.191960966,17.17440307,1.191960966
317,2.279831124,18.36636403,2.279831124
318,-0.170697826,20.64619516,-0.170697826
319,-1.655154892,20.47549733,-1.655154892
320,0.354113775,18.82034244,0.354113775
321,-0.095962517,19.17445622,-0.095962517
322,0.427057814,19.0784937,0.427057814
323,0.554913748,19.50555151,0.554913748
324,-0.53719936,20.06046526,-0.53719936
325,0.093465153,19.5232659,0.093465153
326,0.59425945,19.61673105,0.59425945
327,0.067928126,20.2109905,0.067928126
328,-0.194207962,20.27891863,-0.194207962
329,-0.831758383,20.08471067,-0.831758383
330,-0.267791065,19.25295228,-0.267791065
331,-0.272315073,18.98516122,-0.272315073
332,-1.060526771,18.71284615,-1.060526771
333,0.110024943,17.65231938,0.110024943
334,-1.230294428,17.76234432,-1.230294428
335,1.430808478,16.53204989,1.430808478
336,0.26017729,17.96285837,0.26017729
337,-1.445496146,18.22303566,-1.445496146
338,-1.014324951,16.77753951,-1.014324951
339,-0.396320216,15.76321456,-0.396320216
340,-2.930755006,15.36689435,-2.930755006
341,-1.384097818,12.43613934,-1.384097818
342,0.909369298,11.05204152,0.909369298
343,-0.929894849,11.96141082,-0.929894849
344,1.913244464,11.03151597,1.913244464
345,0.225450713,12.94476043,0.225450713
346,0.158054985,13.17021115,0.158054985
347,-1.233173053,13.32826613,-1.233173053
348,-0.204127533,12.09509308,-0.204127533
349,0.831825559,11.89096555,0.831825559
350,-1.478673078,12.72279111,-1.478673078
351,0.03947244,11.24411803,0.03947244
352,0.591139187,11.28359047,0.591139187
353,0.324949832,11.87472965,0.324949832
354,-0.403059955,12.19967949,-0.403059955
355,-0.206756531,11.79661953,-0.206756531
356,-0.424820513,11.589863,-0.424820513
357,-1.629322158,11.16504249,-1.629322158
358,0.949660205,9.535720329,0.949660205
359,0.046874512,10.48538053,0.046874512
360,1.950577887,10.53225505,1.950577887
361,-0.43229654,12.48283293,-0.43229654
362,1.866195534,12.05053639,1.866195534
363,0.602987589,13.91673193,0.602987589
364,-0.114613476,14.51971952,-0.114613476
365,-0.420913654,14.40510604,-0.420913654
366,-0.986809131,13.98419239,-0.986809131
367,0.011648844,12.99738326,0.011648844
368,0.723378148,13.0090321,0.723378148
369,-0.905850538,13.73241025,-0.905850538
370,1.008373225,12.82655971,1.008373225
371,-1.304837197,13.83493293,-1.304837197
372,-0.418234096,12.53009574,-0.418234096
373,0.898347887,12.11186164,0.898347887
374,-1.768402194,13.01020953,-1.768402194
375,0.600274705,11.24180733,0.600274705
376,-0.313842161,11.84208204,-0.313842161
377,-1.695052767,11.52823988,-1.695052767
378,0.47037402,9.833187111,0.47037402
379,-0.668081424,10.30356113,-0.668081424
380,3.006138667,9.635479707,3.006138667
381,0.877262515,12.64161837,0.877262515
382,0.626307867,13.51888089,0.626307867
383,0.290886121,14.14518876,0.290886121
384,-0.150363353,14.43607488,-0.150363353
385,1.639118897,14.28571152,1.639118897
386,0.402270501,15.92483042,0.402270501
387,-0.637390088,16.32710092,-0.637390088
388,0.411799083,15.68971083,0.411799083
389,1.183916145,16.10150992,1.183916145
390,-0.247358602,17.28542606,-0.247358602
391,-1.145249028,17.03806746,-1.145249028
392,0.441008222,15.89281843,0.441008222
393,0.381539268,16.33382665,0.381539268
394,1.277388483,16.71536592,1.277388483
395,-0.071847228,17.99275441,-0.071847228
396,-1.4807582,17.92090718,-1.4807582
397,0.593340156,16.44014898,0.593340156
398,1.88986831,17.03348913,1.88986831
399,-1.253611296,18.92335744,-1.253611296
400,1.042955222,17.66974615,1.042955222
401,-0.112665487,18.71270137,-0.112665487
402,-0.570280507,18.60003588,-0.570280507
403,-0.021435959,18.02975538,-0.021435959
404,-0.931813125,18.00831942,-0.931813125
405,2.857815303,17.07650629,2.857815303
406,0.336724141,19.93432159,0.336724141
407,0.102694444,20.27104574,0.102694444
408,0.217402358,20.37374018,0.217402358
409,0.885445967,20.59114254,0.885445967
410,-0.403501546,21.4765885,-0.403501546
411,-1.194962074,21.07308696,-1.194962074
412,1.464075386,19.87812488,1.464075386
413,-1.457768521,21.34220027,-1.457768521
414,0.021927419,19.88443175,0.021927419
415,-0.830123362,19.90635917,-0.830123362
416,-1.944540904,19.07623581,-1.944540904
417,0.111940167,17.1316949,0.111940167
418,1.384606288,17.24363507,1.384606288
419,0.621441985,18.62824136,0.621441985
420,-0.97153736,19.24968334,-0.97153736
421,-0.468056524,18.27814598,-0.468056524
422,-1.221181936,17.81008946,-1.221181936
423,1.676987679,16.58890752,1.676987679
424,-0.087125848,18.2658952,-0.087125848
425,0.385588153,18.17876935,0.385588153
426,0.23135533,18.56435751,0.23135533
427,-0.528705593,18.79571284,-0.528705593
428,-0.761523122,18.26700724,-0.761523122
429,-0.195110476,17.50548412,-0.195110476
430,0.06835362,17.31037365,0.06835362
431,-0.344976415,17.37872727,-0.344976415
432,0.138096285,17.03375085,0.138096285
433,0.910145059,17.17184714,0.910145059
434,-1.595882008,18.08199219,-1.595882008
435,0.364783883,16.48611019,0.364783883
436,0.414177701,16.85089407,0.414177701
437,-0.914141745,17.26507177,-0.914141745
438,1.41245432,16.35093003,1.41245432
439,1.139138917,17.76338435,1.139138917
440,-0.825383871,18.90252326,-0.825383871
441,-2.667414117,18.07713939,-2.667414117
442,1.096360311,15.40972527,1.096360311
443,-2.436816064,16.50608559,-2.436816064
444,0.63349401,14.06926952,0.63349401
445,-1.284803659,14.70276353,-1.284803659
446,0.698291694,13.41795987,0.698291694
447,-1.410028094,14.11625157,-1.410028094
448,-0.6451769,12.70622347,-0.6451769
449,0.530022013,12.06104657,0.530022013
450,0.144160711,12.59106859,0.144160711
451,1.038258825,12.7352293,1.038258825
452,-1.444264207,13.77348812,-1.444264207
453,-0.974473104,12.32922391,-0.974473104
454,1.021370073,11.35475081,1.021370073
455,-0.270773364,12.37612088,-0.270773364
456,-1.735006348,12.10534752,-1.735006348
457,0.747245206,10.37034117,0.747245206
458,-0.473462764,11.11758638,-0.473462764
459,-0.558119147,10.64412361,-0.558119147
460,-0.784429057,10.08600447,-0.784429057
461,-0.463621878,9.301575409,-0.463621878
462,0.575398218,8.837953531,0.575398218
463,0.55630095,9.413351749,0.55630095
464,0.587588277,9.969652699,0.587588277
465,-0.596587639,10.55724098,-0.596587639
466,0.667835449,9.960653337,0.667835449
467,0.23745611,10.62848879,0.23745611
468,0.998611727,10.8659449,0.998611727
469,-0.217607844,11.86455662,-0.217607844
470,-0.109804902,11.64694878,-0.109804902
471,0.743675799,11.53714388,0.743675799
472,-0.102076448,12.28081968,-0.102076448
473,0.771395119,12.17874323,0.771395119
474,0.930597037,12.95013835,0.930597037
475,-0.213781745,13.88073538,-0.213781745
476,-0.269778245,13.66695364,-0.269778245
477,0.908877092,13.39717539,0.908877092
478,0.757550744,14.30605249,0.757550744
479,-0.858152369,15.06360323,-0.858152369
480,-0.001595836,14.20545086,-0.001595836
481,0.812296858,14.20385503,0.812296858
482,-0.346561796,15.01615188,-0.346561796
483,1.060189985,14.66959009,1.060189985
484,0.264446199,15.72978007,0.264446199
485,0.466827428,15.99422627,0.466827428
486,1.309363494,16.4610537,1.309363494
487,0.16705301,17.77041719,0.16705301
488,2.06827723,17.9374702,2.06827723
489,-1.481516802,20.00574743,-1.481516802
490,0.099480204,18.52423063,0.099480204
491,0.831475211,18.62371084,0.831475211
492,-0.433345217,19.45518605,-0.433345217
493,0.294212225,19.02184083,0.294212225
494,-0.831775582,19.31605305,-0.831775582
495,-0.888540713,18.48427747,-0.888540713
496,0.834081824,17.59573676,0.834081824
497,-1.074901043,18.42981858,-1.074901043
498,-1.398070872,17.35491754,-1.398070872
499,0.331254286,15.95684667,0.331254286
500,-0.513705286,16.28810095,-0.513705286
501,-0.314865391,15.77439567,-0.314865391
502,0.074364894,15.45953028,0.074364894
503,-0.943671469,15.53389517,-0.943671469
504,1.813177548,14.5902237,1.813177548
505,-0.876046269,16.40340125,-0.876046269
506,-0.613085961,15.52735498,-0.613085961
507,-1.109886957,14.91426902,-1.109886957
508,1.284114627,13.80438206,1.284114627
509,-0.649059284,15.08849669,-0.649059284
510,0.391783068,14.43943741,0.391783068
511,-0.526539049,14.83122047,-0.526539049
512,-0.288080807,14.30468143,-0.288080807
513,0.967995171,14.01660062,0.967995171
514,-1.143290474,14.98459579,-1.143290474
515,0.146234594,13.84130532,0.146234594
516,-0.4656199,13.98753991,-0.4656199
517,0.523928058,13.52192001,0.523928058
518,1.190376047,14.04584807,1.190376047
519,-1.191097994,15.23622411,-1.191097994
520,0.188533093,14.04512612,0.188533093
521,1.073832648,14.23365921,1.073832648
522,0.619493362,15.30749186,0.619493362
523,0.75799697,15.92698522,0.75799697
524,0.675976318,16.68498219,0.675976318
525,-0.154866208,17.36095851,-0.154866208
526,-0.082882928,17.2060923,-0.082882928
527,-0.86813487,17.12320938,-0.86813487
528,-0.526225572,16.25507451,-0.526225572
529,-0.404630514,15.72884893,-0.404630514
530,-0.134707715,15.32421842,-0.134707715
531,2.401680653,15.1895107,2.401680653
532,-3.210602943,17.59119136,-3.210602943
533,0.63217628,14.38058841,0.63217628
534,-0.310574939,15.01276469,-0.310574939
535,-0.13515107,14.70218976,-0.13515107
536,-0.627813929,14.56703869,-0.627813929
537,-0.434850319,13.93922476,-0.434850319
538,-1.428378419,13.50437444,-1.428378419
539,0.030779508,12.07599602,0.030779508
540,-1.118526343,12.10677553,-1.118526343
541,1.035966861,10.98824918,1.035966861
542,-1.840926609,12.02421604,-1.840926609
543,0.086813835,10.18328944,0.086813835
544,0.280456664,10.27010327,0.280456664
545,-1.485904799,10.55055993,-1.485904799
546,-0.414003144,9.064655135,-0.414003144
547,0.947268802,8.650651991,0.947268802
548,-0.079596231,9.597920793,-0.079596231
549,-0.866824047,9.518324562,-0.866824047
550,0.432697033,8.651500515,0.432697033
551,0.001537057,9.084197548,0.001537057
552,0.278488387,9.085734605,0.278488387
553,0.292494757,9.364222992,0.292494757
554,-0.692594743,9.656717749,-0.692594743
555,-0.5209192,8.964123006,-0.5209192
556,0.546066115,8.443203806,0.546066115
557,2.172046679,8.989269921,2.172046679
558,-0.905550815,11.1613166,-0.905550815
559,-0.976715309,10.25576579,-0.976715309
560,-0.085413713,9.279050476,-0.085413713
561,0.008082846,9.193636763,0.008082846
562,-2.006618207,9.201719609,-2.006618207
563,-0.591258699,7.195101402,-0.591258699
564,1.192248454,6.603842703,1.192248454
565,-0.099648694,7.796091157,-0.099648694
566,-1.287016298,7.696442463,-1.287016298
567,-0.573175866,6.409426165,-0.573175866
568,-0.385604611,5.836250299,-0.385604611
569,-0.464008654,5.450645688,-0.464008654
570,0.494346599,4.986637034,0.494346599
571,-0.570708033,5.480983633,-0.570708033
572,-0.1608075,4.9102756,-0.1608075
573,0.067172893,4.7494681,0.067172893
574,0.224457083,4.816640993,0.224457083
575,0.233942009,5.041098076,0.233942009
576,-0.531489085,5.275040085,-0.531489085
577,0.126742778,4.743551,0.126742778
578,-0.195205173,4.870293778,-0.195205173
579,-0.94511557,4.675088605,-0.94511557
580,-1.449808945,3.729973035,-1.449808945
581,-0.019286347,2.28016409,-0.019286347
582,0.665569957,2.260877743,0.665569957
583,0.153974106,2.9264477,0.153974106
584,0.568191374,3.080421806,0.568191374
585,1.790066469,3.64861318,1.790066469
586,-0.600991502,5.438679649,-0.600991502
587,-0.426257797,4.837688147,-0.426257797
588,-0.099822149,4.41143035,-0.099822149
589,-0.8619701,4.311608201,-0.8619701
590,-0.356434861,3.449638101,-0.356434861
591,1.327840822,3.09320324,1.327840822
592,-0.357946925,4.421044062,-0.357946925
593,0.242201512,4.063097137,0.242201512
594,0.294885123,4.305298649,0.294885123
595,-0.051986132,4.600183772,-0.051986132
596,0.017662415,4.54819764,0.017662415
597,0.257995806,4.565860055,0.257995806
598,0.062920688,4.823855861,0.062920688
599,0.229701502,4.886776549,0.229701502
600,1.050513234,5.116478051,1.050513234
601,1.309684373,6.166991285,1.309684373
602,-0.772147747,7.476675658,-0.772147747
603,1.938539945,6.704527911,1.938539945
604,-0.799273802,8.643067856,-0.799273802
605,1.793625127,7.843794054,1.793625127
606,1.185481897,9.637419181,1.185481897
607,1.453547998,10.82290108,1.453547998
608,0.687980988,12.27644908,0.687980988
609,1.013289355,12.96443006,1.013289355
610,0.642426135,13.97771942,0.642426135
611,-0.841408878,14.62014555,-0.841408878
612,0.174929807,13.77873668,0.174929807
613,-0.400227014,13.95366648,-0.400227014
614,-1.084548829,13.55343947,-1.084548829
615,0.33575305,12.46889064,0.33575305
616,-2.28984931,12.80464369,-2.28984931
617,-0.668707947,10.51479438,-0.668707947
618,3.043029929,9.846086433,3.043029929
619,-0.478376661,12.88911636,-0.478376661
620,-0.611059601,12.4107397,-0.611059601
621,-0.215186526,11.7996801,-0.215186526
622,0.338606878,11.58449357,0.338606878
623,-0.886550714,11.92310045,-0.886550714
624,0.261159284,11.03654974,0.261159284
625,-0.511730396,11.29770902,-0.511730396
626,-0.672264105,10.78597863,-0.672264105
627,-0.163180938,10.11371452,-0.163180938
628,0.834361297,9.950533583,0.834361297
629,2.862994114,10.78489488,2.862994114
630,0.68104559,13.64788899,0.68104559
631,0.422782614,14.32893458,0.422782614
632,-1.919122774,14.7517172,-1.919122774
633,0.474204958,12.83259442,0.474204958
634,0.941892353,13.30679938,0.941892353
635,-0.926625291,14.24869174,-0.926625291
636,0.623910482,13.32206644,0.623910482
637,0.371923415,13.94597693,0.371923415
638,1.578942783,14.31790034,1.578942783
639,0.628222271,15.89684312,0.628222271
640,-0.784047895,16.5250654,-0.784047895
641,-1.06992376,15.7410175,-1.06992376
642,0.75708874,14.67109374,0.75708874
643,-0.032861822,15.42818248,-0.032861822
644,0.092976814,15.39532066,0.092976814
645,1.753897904,15.48829747,1.753897904
646,-0.253022482,17.24219538,-0.253022482
647,0.203964703,16.98917289,0.203964703
648,1.459732895,17.1931376,1.459732895
649,0.443477314,18.65287049,0.443477314
650,-0.443285478,19.09634781,-0.443285478
651,-1.519200365,18.65306233,-1.519200365
652,-1.679728151,17.13386196,-1.679728151
653,-0.867089831,15.45413381,-0.867089831
654,-0.747564883,14.58704398,-0.747564883
655,-1.437816487,13.8394791,-1.437816487
656,0.684848965,12.40166261,0.684848965
657,1.400987395,13.08651158,1.400987395
658,-1.502273874,14.48749897,-1.502273874
659,0.543736598,12.9852251,0.543736598
660,-0.129195506,13.5289617,-0.129195506
661,0.017465428,13.39976619,0.017465428
662,-0.951645211,13.41723162,-0.951645211
