Day in 2023,Sea Level,Water Temperature,Air Temperature,Barometric Pressure
4.166666667,0.509,20.5,19.1,1010.3
4.208333333,0.567,20.4,19.3,1010.6
4.25,0.747,20.5,19.3,1010.5
4.291666667,0.953,20.6,19.2,1010.7
4.333333333,1.138,20.8,18.4,1011.4
4.375,1.259,20.9,18.3,1011.9
4.416666667,1.284,20.9,17.6,1012.1
4.458333333,1.204,20.9,16.6,1012.5
4.5,1.04,20.9,17,1012.3
4.541666667,0.856,20.9,16.6,1012.2
4.583333333,0.726,20.8,16.5,1012
4.625,0.667,20.8,16.4,1011.4
4.666666667,0.722,20.8,16,1011.2
4.708333333,0.9,20.7,15.9,1010.5
4.75,1.166,20.7,16.2,1010.2
4.791666667,1.45,20.7,15.9,1010.3
4.833333333,1.703,20.7,15.7,1010.3
4.875,1.866,20.7,16,1010.7
4.916666667,1.9,20.7,16.4,1011.2
4.958333333,1.782,20.7,16.9,1011.6
5,1.535,20.8,17.4,1012.5
5.041666667,1.221,20.8,17.4,1013.2
5.083333333,0.91,20.7,17.4,1013.2
5.125,0.661,20.6,18.4,1013.2
5.166666667,0.506,20.6,18.7,1013.5
5.208333333,0.488,20.6,18.9,1013.3
5.25,0.599,20.6,17.9,1013.4
5.291666667,0.794,20.6,18.7,1013.3
5.333333333,0.995,20.5,17.4,1013.9
5.375,1.17,20.5,17.7,1014.5
5.416666667,1.268,20.5,18.1,1015
5.458333333,1.255,20.5,18.8,1015.5
5.5,1.125,20.5,18.3,1015.4
5.541666667,0.956,20.5,19.1,1015
5.583333333,0.785,20.4,17.6,1014.8
5.625,0.665,20.4,17.9,1014.1
5.666666667,0.643,20.4,18.4,1013.5
5.708333333,0.742,20.4,18.4,1013.2
5.75,0.943,20.4,17.4,1013.4
5.791666667,1.214,20.3,16.5,1013.6
5.833333333,1.488,20.3,16.6,1014.2
5.875,1.713,20.4,15.7,1014.7
5.916666667,1.82,20.4,17.1,1015
5.958333333,1.792,20.4,17.8,1015
6,1.614,20.5,18.1,1015.2
6.041666667,1.325,20.5,18.9,1015.1
6.083333333,0.995,20.6,20.3,1014.8
6.125,0.69,20.7,20.8,1014.4
6.166666667,0.461,20.7,20.4,1014.3
6.208333333,0.368,20.7,19.8,1014
6.25,0.409,20.7,19.4,1013.7
6.291666667,0.571,20.6,19.6,1013.5
6.333333333,0.786,20.7,19.5,1013.8
6.375,1.002,20.7,19.4,1014
6.416666667,1.166,20.7,18.8,1014.1
6.458333333,1.221,20.7,18.8,1014.5
6.5,1.162,20.7,18.6,1014.4
6.541666667,1.018,20.6,18.4,1014.2
6.583333333,0.835,20.6,18.2,1013.9
6.625,0.664,20.6,17.5,1013.5
6.666666667,0.568,20.7,16.9,1013.2
6.708333333,0.594,20.8,16.4,1012.9
6.75,0.735,20.7,16.9,1013.1
6.791666667,0.96,20.7,16.8,1013.3
6.833333333,1.24,20.7,16.8,1013.8
6.875,1.511,20.8,18.6,1014.1
6.916666667,1.689,21,20.1,1014.2
6.958333333,1.748,21.1,21.3,1014.1
7,1.656,21.3,21.5,1014
7.041666667,1.432,21.4,20.6,1013.6
7.083333333,1.113,21.5,21,1013.3
7.125,0.777,21.6,21,1013.1
7.166666667,0.497,21.5,21.4,1012.7
7.208333333,0.324,21.5,21.2,1012.5
7.25,0.298,21.5,21.4,1012
7.291666667,0.398,21.4,21.1,1011.6
7.333333333,0.594,21.4,21,1012
7.375,0.83,21.8,20.7,1012.3
7.416666667,1.031,22,20.5,1012.7
7.458333333,1.155,22,20.1,1013.2
7.5,1.164,22,19,1013.4
7.541666667,1.069,22,18.9,1013.1
7.583333333,0.899,22,17.8,1012.5
7.625,0.702,22,17.6,1012.1
7.666666667,0.549,21.9,17.2,1011.7
7.708333333,0.491,21.8,16.7,1011.5
7.75,0.56,21.7,16.3,1011.5
7.791666667,0.736,21.6,16.6,1011.6
7.833333333,0.996,21.6,17.6,1011.7
7.875,1.295,21.6,20.8,1012
7.916666667,1.542,21.5,20.3,1011.9
7.958333333,1.682,21.6,21.1,1011.8
8,1.689,21.6,21.3,1011.5
8.041666667,1.543,21.6,21.7,1011.6
8.083333333,1.268,21.9,22,1011.6
8.125,0.934,22.2,22.2,1011.5
8.166666667,0.614,22.1,22.1,1011.4
8.208333333,0.374,22.2,22.4,1011.4
8.25,0.266,22.2,22.6,1011.4
8.291666667,0.296,22.1,22.4,1011.2
8.333333333,0.454,22.1,22.3,1011.5
8.375,0.68,22.1,22.1,1012
8.416666667,0.908,22,21.9,1012.6
8.458333333,1.082,22,21.8,1013.4
8.5,1.157,22,20.6,1013.7
8.541666667,1.13,21.9,20.1,1013.5
8.583333333,1.007,21.9,19.1,1012.7
8.625,0.81,22,18.4,1012.4
8.666666667,0.626,22,18.2,1011.8
8.708333333,0.518,21.9,17.9,1011.7
8.75,0.502,22,17.5,1012.2
8.791666667,0.603,22,17.3,1012.5
8.833333333,0.812,22,18.3,1013.1
8.875,1.096,22,20.3,1013.7
8.916666667,1.365,22,21.4,1013.9
8.958333333,1.559,21.9,22.2,1014.2
9,1.648,21.9,23,1014.4
9.041666667,1.6,22,23,1014.4
9.083333333,1.405,22,23.3,1014.2
9.125,1.108,21.9,23.3,1014.2
9.166666667,0.787,22.1,22.7,1014.1
9.208333333,0.515,22.1,22.5,1013.7
9.25,0.336,22.1,22.5,1013.2
9.291666667,0.289,22.1,22.2,1013.1
9.333333333,0.365,22.2,22.1,1013.7
9.375,0.546,22,21.8,1014.3
9.416666667,0.773,23.6,21.6,1014.5
9.458333333,0.982,23.8,21.5,1014.9
9.5,1.12,23.8,21,1014.8
9.541666667,1.16,23.8,21,1015
9.583333333,1.089,23.8,20.9,1014.8
9.625,0.931,23.7,20.7,1014.4
9.666666667,0.74,23.7,20.6,1014.1
9.708333333,0.59,23.7,20.7,1014
9.75,0.516,23.6,20.6,1014.1
9.791666667,0.531,23.5,20.8,1014.2
9.833333333,0.659,23.4,20.6,1014.6
9.875,0.889,23.5,20.6,1015
9.916666667,1.157,23.4,21,1015
9.958333333,1.407,23.4,21.3,1015
10,1.558,23.4,21.9,1015.1
10.04166667,1.6,23.4,21.7,1014.9
10.08333333,1.499,23.4,22,1014.3
10.125,1.269,23.4,22.1,1013.9
10.16666667,0.97,23.4,22,1013.6
10.20833333,0.674,23.4,21.9,1013
10.25,0.454,23.6,21.9,1012.5
10.29166667,0.334,23.7,22.2,1012.6
10.33333333,0.337,23.6,22.2,1013
10.375,0.457,23.5,22.2,1013.5
10.41666667,0.654,23.8,22.4,1014.1
10.45833333,0.865,23.8,22.3,1014.3
10.5,1.041,23.9,22.5,1014.5
10.54166667,1.16,23.9,22.3,1014.5
10.58333333,1.172,23.9,22,1014.4
10.625,1.072,23.9,22.2,1014
10.66666667,0.913,23.8,21.9,1013.8
10.70833333,0.744,23.8,21.8,1013.6
10.75,0.617,23.8,21.6,1013.7
10.79166667,0.56,23.8,21.8,1014.3
10.83333333,0.616,23.8,21.8,1014.8
10.875,0.775,23.6,22.2,1015.3
10.91666667,0.995,23.6,22.7,1015.8
10.95833333,1.229,23.6,23.4,1015.7
11,1.423,23.6,23,1015.7
11.04166667,1.536,23.6,22.5,1015.7
11.08333333,1.521,23.7,22.4,1015.5
11.125,1.376,23.7,22.6,1015.1
11.16666667,1.125,23.8,22.8,1014.8
11.20833333,0.841,23.8,22.9,1014.5
11.25,0.589,23.9,22.7,1014.2
11.29166667,0.408,24,22.6,1014.1
11.33333333,0.321,24,22.5,1014.7
11.375,0.358,24,22.4,1015.6
11.41666667,0.499,24,22.5,1016.5
11.45833333,0.688,24,22.4,1017.1
11.5,0.888,24,22.4,1017.2
11.54166667,1.049,23.9,22,1017.3
11.58333333,1.132,23.9,21.7,1017
11.625,1.102,23.9,21.6,1016.5
11.66666667,0.995,23.9,21.3,1016.2
11.70833333,0.84,23.9,20.3,1016.2
11.75,0.682,23.9,20.3,1016.6
11.79166667,0.565,23.7,20,1017.1
11.83333333,0.534,23.8,20,1017.8
11.875,0.612,23.8,22,1018.4
11.91666667,0.77,23.8,23.4,1018.6
11.95833333,0.971,23.9,23.2,1018.5
12,1.182,23.9,23.1,1018.2
12.04166667,1.349,24,23.3,1018
12.08333333,1.412,23.9,23.5,1017.6
12.125,1.36,24.1,23.7,1017.1
12.16666667,1.185,24.3,23.7,1016.8
12.20833333,0.946,24.4,23.6,1016.6
12.25,0.7,24.4,23.6,1016.5
12.29166667,0.487,24.5,23.5,1016.5
12.33333333,0.35,24.8,23.4,1017
12.375,0.329,24.8,23.6,1017.3
12.41666667,0.425,24.6,23.4,1017.7
12.45833333,0.584,24.6,23.5,1018.5
12.5,0.781,24.6,23.3,1018.7
12.54166667,0.975,24.5,23,1018.5
12.58333333,1.126,24.4,22.6,1017.8
12.625,1.173,24.4,22.2,1017.5
12.66666667,1.113,24.1,21.8,1017.1
12.70833333,0.992,24.1,22.2,1017.1
12.75,0.827,24.1,22,1017.4
12.79166667,0.673,24.1,21.8,1017.5
12.83333333,0.572,24.1,22,1018.1
12.875,0.556,24.1,22.3,1018.7
12.91666667,0.623,24.1,21.8,1019
12.95833333,0.768,24.1,22.6,1018.8
13,0.964,24.1,22.2,1018.6
13.04166667,1.142,24.3,22.9,1018.2
13.08333333,1.263,24.4,23.2,1017.7
13.125,1.289,24.3,23.1,1017.1
13.16666667,1.205,24.4,23.4,1016.6
13.20833333,1.029,24.6,23.4,1015.9
13.25,0.816,24.7,23.4,1015.4
13.29166667,0.602,24.7,23.3,1015.2
13.33333333,0.427,24.8,23.3,1015.5
13.375,0.336,24.8,23.2,1015.8
13.41666667,0.354,24.7,23.1,1016.2
13.45833333,0.463,24.6,22.9,1016.6
13.5,0.634,24.6,22.7,1016.3
13.54166667,0.844,24.5,22.8,1016
13.58333333,1.034,24.5,22.7,1015.3
13.625,1.154,24.4,22.5,1014.8
13.66666667,1.178,24.3,22.3,1014.8
13.70833333,1.114,24.3,22.1,1014.6
13.75,0.98,24.3,22.2,1014.9
13.79166667,0.817,24.2,21.9,1015.4
13.83333333,0.672,24.2,21.6,1015.9
13.875,0.576,24.2,22.9,1016.2
13.91666667,0.548,24.2,22.8,1016.4
13.95833333,0.603,24.2,23.4,1016.3
14,0.739,23.6,23.2,1015.8
14.04166667,0.911,24.2,23.4,1015.3
14.08333333,1.061,24.2,23.5,1014.8
14.125,1.161,24.4,23.5,1014.1
14.16666667,1.175,24.4,23.4,1013.6
14.20833333,1.088,24.5,23.8,1013.4
14.25,0.916,24.4,23.5,1014
14.29166667,0.723,24.2,23.7,1014.2
14.33333333,0.527,24.3,23.4,1015
14.375,0.357,24.1,23.8,1017.4
14.41666667,0.296,24,23.1,1017.6
14.45833333,0.331,23.7,23.1,1017.9
14.5,0.452,23.8,22.7,1018.8
14.54166667,0.633,23.4,21.9,1019
14.58333333,0.839,23.5,22,1019.1
14.625,1.02,23.6,22.1,1019.1
14.66666667,1.137,22.9,22.2,1019.2
14.70833333,1.167,22.6,21.6,1018.7
14.75,1.097,22.9,21.4,1019.1
14.79166667,0.951,23,20.8,1019.8
14.83333333,0.782,22.9,20.6,1020.6
14.875,0.627,22.7,21,1021.1
14.91666667,0.513,22.9,21,1021.8
14.95833333,0.469,22.7,21.5,1022.1
15,0.513,22.4,21.9,1022.2
15.04166667,0.632,22.3,22.3,1022.2
15.08333333,0.771,22.1,22.7,1021.9
15.125,0.913,21.9,22.7,1021.5
15.16666667,1.009,22,22.7,1021.1
15.20833333,1.036,22.1,23.3,1020.7
15.25,0.978,22.2,23.2,1020.4
15.29166667,0.85,22.6,23.6,1020.3
15.33333333,0.681,22.9,23.6,1020.7
15.375,0.519,23.2,23.4,1021.1
15.41666667,0.394,23.1,23.1,1021.1
15.45833333,0.352,23.1,22.9,1021.5
15.5,0.41,22.9,22.6,1021
15.54166667,0.553,22.9,22.3,1021.3
15.58333333,0.761,22.9,22.4,1020.9
15.625,0.984,22.8,21.5,1020.3
15.66666667,1.187,22.5,21.2,1019.3
15.70833333,1.324,22.1,21.6,1018.5
15.75,1.351,22.8,21.3,1019
15.79166667,1.275,22.7,21.1,1019.2
15.83333333,1.115,22.6,21.2,1019.6
15.875,0.921,22.6,23.5,1019.8
15.91666667,0.721,22.4,23,1020
15.95833333,0.568,22.5,22.7,1019.8
16,0.492,22.3,23.2,1019.7
16.04166667,0.512,22.7,23.6,1019.4
16.08333333,0.611,22.4,23.8,1018.7
16.125,0.768,22.4,23.9,1017.8
16.16666667,0.913,22.8,23.9,1017.1
16.20833333,1.03,22.7,23.7,1016.5
16.25,1.075,23.1,23.6,1015.8
16.29166667,1.03,22.9,23.5,1015.5
16.33333333,0.906,22.8,23.4,1015.6
16.375,0.735,22.6,22.8,1015.3
16.41666667,0.564,23.2,22.8,1015.8
16.45833333,0.438,23.4,22.3,1015.8
16.5,0.396,22.9,22.3,1015.7
16.54166667,0.464,22.8,22.1,1015.2
16.58333333,0.625,22.7,22.3,1014.6
16.625,0.847,22.5,22.1,1013.2
16.66666667,1.108,22.7,22.2,1012.1
16.70833333,1.317,22.5,21.8,1012.1
16.75,1.456,22.8,21.7,1011.7
16.79166667,1.471,22.6,21.5,1011.7
16.83333333,1.375,22.6,21.3,1011.8
16.875,1.193,22.6,22.2,1012.2
16.91666667,0.95,22.6,22.8,1011.5
16.95833333,0.703,22.6,22.7,1010.9
17,0.522,22.6,22.7,1010.1
17.04166667,0.43,22.9,23.1,1008.9
17.08333333,0.442,23.1,23.3,1007.7
17.125,0.548,23.2,23.6,1007
17.16666667,0.707,23.2,23.4,1006.4
17.20833333,0.889,23.2,23.4,1005.8
17.25,1.05,23,23.4,1005
17.29166667,1.118,23.3,23.3,1004.5
17.33333333,1.085,23.2,23.4,1005.8
17.375,0.941,23.1,21.9,1008.3
17.41666667,0.763,23,21.7,1008.8
17.45833333,0.605,22.6,21.7,1008.2
17.5,0.471,22.5,22.1,1008.4
17.54166667,0.435,22.5,21.7,1007.9
17.58333333,0.517,22.6,21.7,1007.3
17.625,0.708,22.5,21.7,1006.3
17.66666667,0.966,22.6,20.1,1005.7
17.70833333,1.238,21.9,19.2,1006.8
17.75,1.482,21,18.6,1007.3
17.79166667,1.635,21.2,18.1,1007.8
17.83333333,1.663,21.4,17.6,1009
17.875,1.554,21.7,17.1,1009.7
17.91666667,1.326,21.6,17.1,1010.5
17.95833333,1.048,21.4,18,1010.9
18,0.757,21.1,18.3,1011.2
18.04166667,0.536,20.9,18.6,1011.2
18.08333333,0.4,20.9,18.4,1011.5
18.125,0.395,20.7,18.7,1011.6
18.16666667,0.513,20.6,19.1,1011.6
18.20833333,0.714,20.6,19.5,1011.3
18.25,0.934,20.6,19.8,1011.5
18.29166667,1.128,20.4,20,1011.8
18.33333333,1.226,20.4,20.2,1012.7
18.375,1.202,20.4,20,1013.1
18.41666667,1.071,20.4,19.9,1013.5
18.45833333,0.878,20.4,18.7,1013.9
18.5,0.682,20.4,18.7,1014.2
18.54166667,0.548,20.4,18.1,1014
18.58333333,0.512,20.4,17.7,1013.8
18.625,0.591,20.5,17.9,1013.6
18.66666667,0.802,21.2,18.2,1013.3
18.70833333,1.107,21.6,17.4,1013.1
18.75,1.428,21.6,17.8,1013.5
18.79166667,1.692,21.6,17.3,1014.2
18.83333333,1.85,21.7,17.6,1015.1
18.875,1.854,21.6,17.8,1015.9
18.91666667,1.693,21.7,18.2,1016.2
18.95833333,1.404,21.7,18.9,1016.6
19,1.054,21.8,19.7,1016.7
19.04166667,0.702,21.6,20.2,1016.7
19.08333333,0.424,21.6,20.8,1016.6
19.125,0.271,21.4,21.3,1016.6
19.16666667,0.279,21.4,21.3,1016.3
19.20833333,0.426,21.4,21.4,1016.1
19.25,0.672,21.4,20.9,1015.9
19.29166667,0.932,21.5,21.1,1015.9
19.33333333,1.143,21.8,20.9,1016
19.375,1.257,22.1,20.1,1016.6
19.41666667,1.233,22,20.5,1017.2
19.45833333,1.082,22.2,20.1,1017.5
19.5,0.847,22.3,20.3,1017.5
19.54166667,0.626,22.3,19.1,1017.3
19.58333333,0.475,22.2,19.1,1016.9
19.625,0.43,22.1,18.4,1016.3
19.66666667,0.531,22.2,19.7,1015.6
19.70833333,0.772,22.2,18.2,1015.6
19.75,1.102,22.3,17.6,1015.7
19.79166667,1.446,22.3,18,1015.7
19.83333333,1.735,22.4,18,1016.3
19.875,1.886,22.4,19.2,1016.9
19.91666667,1.859,22.4,20,1017.3
19.95833333,1.657,22.3,20.8,1017.2
20,1.315,22.4,20.7,1017
20.04166667,0.906,22.6,20.4,1016.8
20.08333333,0.516,22.6,21.2,1016.1
20.125,0.219,22.7,21.3,1015.6
20.16666667,0.072,22.8,21.8,1015.1
20.20833333,0.11,22.9,21.1,1014.9
20.25,0.303,23.1,21.8,1014.4
20.29166667,0.595,23.1,21.2,1014.1
20.33333333,0.895,23.1,21,1014.5
20.375,1.135,23.1,22.1,1014.8
20.41666667,1.254,23.1,22,1014.9
20.45833333,1.206,23.1,22.1,1015
20.5,1.024,23,22.1,1015.4
20.54166667,0.779,22.9,21.8,1015.1
20.58333333,0.54,22.9,20.6,1014.7
20.625,0.382,22.9,21.1,1014.1
20.66666667,0.361,22.9,19.4,1013.7
20.70833333,0.508,22.9,19.5,1013.5
20.75,0.8,22.9,19.6,1013.7
20.79166667,1.172,22.8,19,1014.2
20.83333333,1.55,22.8,19.5,1014.9
20.875,1.848,22.8,18.3,1015.6
20.91666667,1.995,22.8,18.9,1015.7
20.95833333,1.95,22.8,18.8,1015.9
21,1.704,22.8,19.1,1015.9
21.04166667,1.326,22.8,19.3,1015.8
21.08333333,0.885,22.8,19.4,1015.6
21.125,0.466,22.8,18.8,1015.3
21.16666667,0.163,22.8,18.1,1015.3
21.20833333,0.039,22.8,18.4,1014.6
21.25,0.11,22.8,19.2,1014.2
21.29166667,0.339,22.8,19.4,1013.9
21.33333333,0.653,22.8,19.9,1013.9
21.375,0.967,22.8,18.9,1014.8
21.41666667,1.196,22.8,18.3,1015.4
21.45833333,1.293,22.8,18,1015.4
21.5,1.225,22.8,17.6,1015
21.54166667,1.025,22.7,18,1014.5
21.58333333,0.759,22.4,18.5,1013.7
21.625,0.51,22.4,18.6,1012.8
21.66666667,0.351,22.5,18.2,1012
21.70833333,0.346,22.5,18,1011.7
21.75,0.504,22.5,18.3,1012.1
21.79166667,0.805,22.6,17.4,1012.5
21.83333333,1.2,22.6,17.7,1012.6
21.875,1.59,22.7,19.1,1012.8
21.91666667,1.883,22.6,20,1012.7
21.95833333,2.016,22.6,21.1,1012.3
22,1.94,22.6,21.9,1012.3
22.04166667,1.672,22.6,23.2,1012.1
22.08333333,1.266,22.6,23.5,1011.7
22.125,0.812,22.6,22.9,1011.2
22.16666667,0.401,22.6,22.5,1011.2
22.20833333,0.141,22.7,22.3,1010.8
22.25,0.046,22.7,23.1,1010.5
22.29166667,0.151,22.7,22.5,1010.4
22.33333333,0.416,22.7,22.6,1010.7
22.375,0.748,22.7,22.1,1011.3
22.41666667,1.058,22.6,21.6,1012
22.45833333,1.279,22.6,20.9,1012.4
22.5,1.357,22.7,20.6,1012.3
22.54166667,1.265,22.6,19.5,1011.9
22.58333333,1.038,22.6,19.6,1012.1
22.625,0.75,22.6,18.7,1011.7
22.66666667,0.497,22.6,18.9,1011.1
22.70833333,0.347,22.5,18.4,1010.8
22.75,0.345,22.5,18.1,1010.8
22.79166667,0.515,22.5,19.6,1010.9
22.83333333,0.829,22.5,19.9,1011.1
22.875,1.225,22.6,22,1011.3
22.91666667,1.589,22.6,21.9,1011.5
22.95833333,1.85,22.7,22.3,1011.3
23,1.954,22.7,22.8,1011
23.04166667,1.856,22.6,22.9,1010.7
23.08333333,1.569,22.7,23.3,1010.3
23.125,1.161,23,23.5,1009.9
23.16666667,0.73,23.2,23.5,1009.3
23.20833333,0.369,23.1,23.4,1008.8
23.25,0.137,23.3,23.6,1008.9
23.29166667,0.082,23.2,23.7,1008.1
23.33333333,0.213,23.1,23.6,1009
23.375,0.495,23.1,23.5,1008.4
23.41666667,0.803,23.2,23.3,1011
23.45833333,1.083,23.2,19,1011.9
23.5,1.283,23,20.2,1012
23.54166667,1.335,22.9,19.5,1011.6
23.58333333,1.221,22.9,19.5,1011.4
23.625,0.991,23,19.1,1010.8
23.66666667,0.706,23.1,20.8,1010.8
23.70833333,0.468,23.1,18.9,1010.5
23.75,0.337,23.1,19.3,1010
23.79166667,0.344,22.8,18.8,1010.3
23.83333333,0.524,22.8,19.4,1011.3
23.875,0.837,22.9,21.3,1012.1
23.91666667,1.195,22.9,22.1,1012.5
23.95833333,1.523,23,22.6,1012.8
24,1.75,23,22.8,1012.3
24.04166667,1.829,23.1,23.2,1012
24.08333333,1.713,23.1,23.2,1011.5
24.125,1.418,23.2,23.6,1011.4
24.16666667,1.044,23.5,24.3,1011.3
24.20833333,0.661,23.8,24,1010.9
24.25,0.347,24.2,24.3,1010.7
24.29166667,0.165,23.8,24.3,1010.7
24.33333333,0.152,24.3,24.1,1011.2
24.375,0.32,24.3,24,1011.9
24.41666667,0.587,24.2,23.9,1012.4
24.45833333,0.894,23.6,23.8,1012.8
24.5,1.156,23.6,23.6,1012.7
24.54166667,1.329,23.9,23.3,1012.6
24.58333333,1.356,23.9,23.3,1012
24.625,1.224,23.6,23.4,1011.4
24.66666667,0.99,23.7,23.1,1010.9
24.70833333,0.736,23.9,23.2,1010.5
24.75,0.52,23.9,22.9,1010.5
24.79166667,0.388,23.8,22.7,1011
24.83333333,0.409,23.6,23.1,1011.5
24.875,0.575,23.6,23,1011.7
24.91666667,0.842,23.6,23.2,1011.7
24.95833333,1.159,23.5,23.8,1011.3
25,1.429,23.5,24.1,1011.2
25.04166667,1.613,23.7,24.7,1010.7
25.08333333,1.639,23.6,25.2,1010.6
25.125,1.507,23.8,24.9,1010.1
25.16666667,1.239,24.2,25.5,1009.8
25.20833333,0.914,24.6,24.8,1009.5
25.25,0.584,24.8,24.6,1010.5
25.29166667,0.334,24.8,24.5,1010.5
25.33333333,0.211,24.7,24.2,1011.9
25.375,0.244,24.2,23.4,1012.3
25.41666667,0.42,23.8,22.6,1012.8
25.45833333,0.665,23.6,22,1014.6
25.5,0.944,23.5,21.8,1014.3
25.54166667,1.184,23.1,21.4,1014.3
25.58333333,1.317,23.1,21.4,1013.9
25.625,1.307,23.3,21.1,1014
25.66666667,1.173,23.3,21.1,1013.9
25.70833333,0.973,23.2,21,1013.8
25.75,0.748,23.3,21.2,1014.5
25.79166667,0.551,23.3,21.2,1014.8
25.83333333,0.461,23.2,20.9,1015
25.875,0.494,23.2,21.7,1015.2
25.91666667,0.64,23.1,21.8,1015.3
25.95833333,0.856,22.9,21.5,1015.6
26,1.098,22.8,21.9,1015.5
26.04166667,1.31,22.8,22.3,1015.3
26.08333333,1.445,22.9,23.4,1014.9
26.125,1.444,23,23.7,1014.5
26.16666667,1.307,22.9,23.6,1014.2
26.20833333,1.088,22.9,23.3,1013.6
26.25,0.84,23,23.6,1013.1
26.29166667,0.6,23,22.8,1013.2
26.33333333,0.43,23,22.8,1013.7
26.375,0.376,23,22.8,1014
26.41666667,0.441,23,22.8,1014.3
26.45833333,0.619,23.1,22.9,1014.6
26.5,0.862,23.1,23,1014.3
26.54166667,1.113,23.1,22.7,1014.1
26.58333333,1.32,23.1,22.7,1013.7
26.625,1.429,23.2,22.7,1013
26.66666667,1.412,23.2,22.4,1012.3
26.70833333,1.291,23.2,22.4,1011.8
