tau,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
75,-50.70160074,-7.019333068,16.72116622,78.15463644,-41.74297652,-36.06050725,-26.21084436,17.90298778,18.7830912,28.32809038
76,-50.0230272,-4.152651187,8.453147154,73.15011491,-28.07346956,-44.57765587,-54.47681412,-14.71360538,-0.583246522,40.00423168
77,-54.38234276,-26.33603651,18.99668829,62.30761371,-50.01104238,-54.75853499,-55.54224959,-21.29193737,17.68551655,45.67158706
78,-77.00366465,-20.13108421,-0.287740411,55.96590695,-43.0246891,-41.24400249,-46.16422815,-1.324538752,17.52499179,71.09896159
79,-64.34275258,-33.4079131,11.51239331,78.86902804,-49.69942101,-32.17223246,-30.98577349,-16.18758103,3.792030632,44.15733346
80,-80.85936401,-32.50029918,14.51682487,58.43207074,-39.48582302,1.528042595,-12.46335881,-22.51558793,23.46540333,53.45618496
81,-88.41205956,-52.44822163,16.49474826,42.87344823,-35.28838473,-14.49134721,-5.586463231,-39.166539,19.87741171,41.86189167
82,-79.2940496,-56.45044001,-12.60093688,26.64239927,-28.07515063,9.803227001,-17.26244031,-50.03723945,17.8454824,42.00556296
83,-66.81838743,-70.27182605,-1.650758424,32.05280904,-42.01277955,-15.45764669,-20.61021134,-50.98749036,27.19926048,35.43761348
84,-46.82644859,-84.71651507,-18.11980952,27.92459791,-21.58321656,-2.952280964,-21.53825387,-62.67019554,-9.378495656,34.60390919
85,-37.71086976,-93.77508773,-8.578717891,3.381237007,-28.65769079,5.242931382,-22.73448303,-88.28922052,-2.206618249,9.910997149
86,-39.85977771,-108.7726328,3.899632552,15.8629831,-21.65536222,-16.96827612,-27.55644037,-68.50298173,22.37334083,10.17393314
87,-30.28892108,-106.6010711,-0.481237705,5.090162885,2.436306947,-27.23859433,-46.63802981,-65.8207949,18.26336187,-24.47521198
88,-7.939664018,-93.45780387,-0.465088989,-25.99791021,11.35093538,-23.90001743,-54.43420836,-44.70129238,38.81869773,-19.71111061
89,1.222786821,-94.93710922,-16.92384394,-25.07968821,7.419708751,-26.53182148,-63.3114329,-51.91584929,48.49116938,-31.33182889
90,5.500889607,-82.88342125,-34.85698052,-11.95467619,18.66328649,1.623382862,-60.72201322,-53.07301224,27.87423619,-40.86069676
91,-7.657558648,-72.22200504,-22.84580032,-5.200863657,8.583077076,-9.011884425,-46.78805129,-43.86114997,30.73875347,-42.02743082
92,-2.026998606,-82.03169803,-33.35614974,1.589857547,0.592260379,3.234686677,-33.94555453,-51.33202244,25.90295872,-16.30050981
93,-8.05234512,-91.73275464,-50.62979543,20.16407978,18.16139686,0.478625477,-31.0216744,-67.3882528,26.40776828,-15.06103633
94,-38.71372241,-81.47126629,-83.9470122,39.93513731,16.01842111,24.57568522,-53.58306848,-58.45154649,30.68040915,-11.22371008
95,-47.31341044,-61.67155032,-71.80923864,15.70929014,4.185281336,8.486276966,-64.04345641,-48.30911695,16.7978196,5.460858427
96,-27.55120232,-42.37342569,-80.06876263,33.19248699,19.93927949,-44.53962708,-82.23365301,-36.42380052,37.85737949,23.64246672
97,-19.69574205,-55.67193281,-70.58277225,49.0094251,20.06424394,-43.36286558,-94.71664658,-15.90925457,23.72939645,19.2554909
98,-4.993627391,-70.84926614,-65.6387121,20.82560984,26.78344386,-24.58313326,-92.81212676,3.018899749,11.828036,10.10823104
99,12.82011038,-70.90661304,-44.29776928,23.75744394,21.08728346,-34.52303282,-92.20830656,-4.456679123,-2.017409125,16.4542454
100,-1.690809396,-84.2166636,-21.70080505,41.83890165,27.21155422,-43.64046254,-79.35811894,-3.94751825,5.27502104,3.718637705
101,-3.245229842,-77.09512918,-42.03326692,41.47114286,5.875172739,-58.67995051,-70.59819772,-3.768868303,21.71053553,13.43168895
102,-30.92838147,-49.53074101,-38.31726117,37.84323122,-18.13108762,-72.06682387,-94.36315571,7.857079476,13.76873225,21.08324546
103,-32.92984138,-49.22597779,-48.79935968,22.1804811,-2.681502975,-71.42824973,-102.7380381,4.990621455,21.74953156,8.011999456
104,-21.18908429,-16.6013465,-48.93874488,-1.413185013,-14.02344686,-73.43041856,-74.87744173,-2.505211895,45.19717391,-24.12739931
105,-47.60826233,-18.23873166,-50.62674469,-11.29896502,-12.42929431,-76.85449658,-63.23788969,5.842340873,49.63233803,-26.69351811
106,-23.4738171,-5.99049411,-65.22972243,-13.02381087,-2.569026564,-75.09364862,-54.31915201,-3.052802035,56.62549143,-17.60295649
107,-29.95131685,-2.861180281,-76.09946796,0.546211529,-8.108850016,-88.64491545,-51.11246574,-9.896800928,63.86642563,-22.57380553
108,-48.51013242,3.747704821,-70.3786994,3.549248067,-6.796818111,-61.41618734,-44.45096272,-28.45716238,60.48970526,-21.37930519
109,-41.0009002,5.470470623,-53.24286215,-3.125345564,-6.258203938,-47.27395157,-29.30965973,-15.42889095,48.1804164,-38.10285519
110,-76.15108104,9.424268857,-38.41039678,-6.920309443,-33.394545,-26.45268531,-4.987962647,8.322672836,38.86706132,-25.27973184
111,-61.31896736,-1.786443785,-24.88975375,-4.542924651,28.3222401,-20.53663449,-19.16709223,-17.01095134,25.01113207,-30.91519967
112,-61.10771863,-1.024233541,-39.91023221,-1.222561541,19.95208336,9.93308177,-19.94495821,-19.38659437,16.39958284,-51.32499061
113,-54.0742136,22.97978953,-27.09040916,-5.659416604,23.52679329,3.740217529,1.18006562,-11.79938395,12.5376234,-49.8281138
114,-57.93816573,23.89296661,-35.23669537,-24.84190692,3.410413266,11.24472742,-4.958704864,-22.06189586,9.734889382,-44.44579532
115,-32.6551674,31.46436683,-23.5356165,-42.47278412,8.760075647,12.20966742,6.005023139,-19.60299708,9.558136061,-44.69445462
116,-32.9572455,12.19994508,-39.11342115,-23.53080486,-1.275951214,4.356813029,-0.641782239,-30.38859829,38.04645112,-43.2260183
117,-29.52307339,7.222279542,-33.00769667,-27.1879301,-9.33423701,2.921975845,1.354435173,-13.42285212,48.71999228,-59.99508919
118,-21.48583773,21.27364874,-28.25771154,-4.097991369,-29.31888098,25.72885244,-2.661623005,-16.40016427,19.58587639,-82.13747489
119,-27.91749703,37.96128264,13.17633308,13.25286723,-56.06526587,5.151790051,0.10248056,3.747885354,30.00007238,-102.5153716
120,-36.49051811,26.14459096,15.57101037,7.831690037,-57.73343831,15.43485815,2.998176981,10.38059856,27.08053277,-59.09118883
121,-35.7339258,2.299031703,8.94751879,5.732159987,-55.39978342,12.65378671,-9.516241994,-10.56382846,37.75348366,-54.13825225
122,-21.75656817,-1.07330157,0.098099933,1.827110419,-28.24042646,-29.65898781,-32.92220727,-23.64201673,37.32792675,-51.38848705
123,-8.778652491,34.72641651,14.67527991,-4.776258885,-26.9559068,-19.72992617,-33.67367162,-19.326725,37.66622766,-43.17925144
124,18.5084103,11.67505692,1.748971362,6.454424627,-37.10484928,-13.13840038,-39.37544991,-9.808025691,28.80221124,-41.18244611
125,12.82884771,15.75931356,5.888314726,21.78348957,-32.90386324,-31.22172049,-31.13232788,-11.72513412,44.25485617,-42.29576206
126,11.45175311,14.22164143,32.36018499,19.19100707,-7.725091746,-41.59262106,-37.31707073,-6.533260564,52.61474558,-30.12771076
127,17.99888787,20.97349452,15.63801865,19.3022615,-12.65277188,-19.75231736,-42.87748064,-1.271469268,40.94779445,-27.33722053
128,15.66213255,8.459602585,3.920492621,19.53337479,-13.5838241,-25.04928579,-49.96391379,6.292952612,31.17732188,-32.66903433
129,35.06858104,5.721025062,15.59558667,18.50688212,-12.69928298,-13.1960769,-49.52124247,9.128488798,42.67646708,-19.46390023
130,27.82920044,7.848002414,-2.559768695,11.47363127,-31.5766054,0.661575553,-46.46427533,-1.545174179,35.73052787,-35.18118698
131,10.73083063,-0.33212227,0.582080053,19.84868996,-42.99054387,-40.46132845,-62.02048869,-7.242805053,59.25907145,-56.897572
132,22.10062814,-17.26203024,-7.389130504,4.566292102,-20.58292075,-1.398521464,-56.27703239,-25.30814816,80.29777315,-43.51940961
133,26.62712515,-6.823787963,5.709097613,-12.4980083,-20.37064313,10.52941046,-41.29315687,-13.53325357,83.57373259,-41.31158888
134,9.668827681,-1.529064283,-9.161970006,-37.88269456,-21.39805514,7.265725732,-50.54103882,-9.399912232,84.55853636,-20.81012695
135,-1.282982314,3.877131705,-7.170944737,-32.92736653,-17.27145513,-10.47626397,-33.89096672,-5.972731069,70.55966137,-17.14464327
136,12.71364987,-15.96590628,-0.54862547,-20.24073498,-24.14678739,16.10110023,-25.85052908,-11.77122095,74.17436041,6.56442831
137,12.78515565,-23.23865285,23.72186121,-9.46234885,-34.38305262,9.473415549,-56.43736764,-27.95823454,73.89805393,-15.47514271
138,-13.16313857,-35.08824424,24.52646457,5.842587945,-13.78726431,6.692071605,-33.84258335,-45.04702182,82.467592,-19.86735164
139,-52.07534917,-38.38894396,48.65158845,-33.86067412,-31.00887381,33.41336306,-36.8011867,-53.35670756,70.08948535,-12.82592602
140,-64.28985173,-33.26486008,61.35580651,-39.16170761,-22.9859912,34.46075195,-35.20548814,-14.37530055,61.59934002,-7.259727952
141,-52.71928142,-11.66291938,52.22979183,-28.48924317,-46.87687699,-6.811640565,-29.83746034,16.90788818,60.405583,2.255067453
142,-41.09748982,-11.76535654,67.28722361,-34.7366477,-32.91344774,-12.20196316,-45.87156505,6.227251422,71.90427367,18.01825359
143,-35.29562428,8.849178493,69.13212996,-41.38664117,-12.53093636,11.11305277,-39.63034523,0.605919528,63.58272943,47.09071464
144,-24.97753584,-4.603339827,52.6191984,-36.54737335,-33.98115503,18.13530856,-40.43187914,10.71545008,66.62247607,52.09350511
145,-33.47560088,-16.00608239,55.53876469,-44.34756659,12.33019033,11.46154177,-63.72216848,-1.135369278,85.85429457,46.96802327
146,-37.37093547,-13.56127955,20.45317982,-45.46267213,-10.05762608,5.499622453,-35.9763847,-21.40964307,63.70112574,43.42308282
147,-68.46165098,-6.683140918,22.21541375,-47.71707851,-19.02999968,2.191119624,-19.62663148,-44.32201128,65.8049669,43.46593984
148,-80.97639273,-20.5317676,38.14020701,-16.63080844,-7.151121468,-24.05220045,-2.847367213,-28.27540192,73.26712404,52.80487614
149,-59.08650403,1.765527467,32.03790244,-20.33161256,-1.749559505,-30.81860367,-3.080952377,-44.96424821,48.42418085,56.84621747
150,-55.19138628,-1.497014156,19.47704826,-19.56049057,-1.524662469,-24.20748871,9.854431631,-47.23371554,23.02609258,45.00229979
151,-42.58693355,-17.689572,-17.189848,1.325639378,-0.506290311,-38.53400584,19.77919412,-31.22589152,19.96855127,59.67328137
152,-59.25536945,-20.2509579,14.61117068,21.71157648,17.52001565,-29.78684196,1.312480618,-51.82578402,4.910771908,65.42652742
153,-72.08462199,-23.28016686,27.03433002,13.18252133,19.08543233,-24.13085982,11.5665713,-40.64036237,1.624505295,55.12009201
154,-75.23312371,-32.81018451,15.49706251,20.24849189,35.14568378,-34.41589874,-4.07712832,-39.72006197,-9.686969181,64.40686844
155,-62.14234972,-30.91847767,45.87065705,-1.43050699,48.11375054,-12.82377682,-17.06660119,-21.49221945,2.342953292,71.41797032
156,-51.28290912,-37.26565561,46.14687215,-4.043913247,58.45567798,4.765559796,-21.04307068,-4.780974457,17.56605367,60.1227459
157,-68.45087788,-33.22186946,22.94526759,21.71730762,50.36647396,7.254578431,-5.143401772,-12.87181149,3.401709678,61.73427697
158,-56.76379596,-29.6553842,37.86080386,33.9866954,44.98785673,1.93204438,-9.437552455,-5.292458283,-4.314614215,54.96560286
159,-61.48664326,-33.09525196,20.39578652,19.44219697,39.66794749,3.61295055,-38.17512524,1.819242876,-22.97700558,49.14878424
160,-68.8550209,-33.34664772,8.711772693,10.51912652,50.80421809,13.92622539,-40.65685773,-2.452528663,-42.1834042,29.53576381
161,-64.14933433,-62.17596639,2.029602493,20.40759489,37.80181932,-17.87748371,-22.38636572,0.48595933,-38.20660989,43.712052
162,-74.46975828,-40.65151618,-5.354011979,48.2852357,6.461611699,-21.63389834,-23.66323124,12.55147639,-48.45385387,44.33443937
163,-70.09928172,-37.39019775,27.81740229,53.94078276,12.70382642,-25.53430523,-16.15532713,14.63771171,-34.94786506,45.15081938
164,-61.41501963,-46.20019396,28.76234553,28.38927978,0.578436344,-21.68982942,-17.63198377,40.13496704,-28.41158452,24.84946359
165,-79.51926143,-57.13431613,49.94459068,40.6187865,-17.67201944,-9.923247879,-23.41981943,45.22101375,3.887700544,5.01068752
166,-87.91811542,-42.84269012,35.25254415,56.10561719,-26.99374644,-0.955170265,-35.03579216,30.14185228,-2.241521895,-10.09702528
167,-79.527479,-57.33563794,35.97675422,39.39546356,-17.38693534,5.595157558,-11.53510609,11.03288829,-27.87314568,-0.067395756
168,-65.75430397,-75.20058333,42.1489666,20.79428003,-43.67285284,-7.484716078,-6.882202878,43.04011822,-27.89621588,5.737696568
169,-64.11336999,-58.21328707,33.17808438,12.64979791,-37.78433812,-4.694268013,-33.34645541,52.49066635,-29.73805365,12.72210751
170,-62.6974752,-60.22650709,24.6946936,-25.20379131,-11.91289325,-12.13894161,-39.36122821,47.03274217,-37.43860228,12.18739051
171,-66.45847424,-45.72095802,0.656231056,-56.59446587,-21.90071191,-25.93148157,-47.46130723,47.86317529,-42.04541814,-21.21709582
172,-46.22231829,-34.6614406,-2.145484364,-63.86173856,-28.98088458,-3.326511284,-41.58887592,26.66442369,-39.25745924,-28.03647206
173,-54.36610054,0.055185335,4.970186398,-47.92212425,-40.55118993,4.272101303,-35.89985049,28.52808284,-33.74705299,-21.06842344
174,-55.55797685,5.586778313,-8.493910075,-43.10259925,-36.9603501,-0.186604701,-11.08923786,31.30152262,-27.54617703,-10.52734663
175,-55.09598916,21.42119189,-6.642543595,-60.23595699,-35.73368433,23.66954176,-13.34918401,16.72121384,-22.03343934,-10.80750786
176,-24.59662801,-1.803072432,0.179310413,-75.92504827,-41.90612698,27.34664047,-35.12944751,2.91228731,-57.10886719,-24.14353225
177,-15.3131968,-16.56009538,-2.114716396,-77.19976758,-10.06725138,13.10726474,-26.10942234,8.642152473,-53.36381489,-40.97969541
178,-38.33179139,1.86345057,-21.72126579,-56.791713,-23.77865138,25.38384692,-18.38876812,15.69437671,-24.31489094,-25.32028906
179,-39.28344178,-4.748259766,-36.96708398,-44.55470297,-41.97530905,43.33920067,-7.211778722,9.186377566,-32.78802519,5.153335516
180,-53.07620232,-9.236105309,-60.52627709,-12.54518842,-52.95191418,53.80445807,-12.01910162,4.921154264,-57.2746133,12.93856982
181,-44.20702641,-19.31143251,-49.90982873,-7.210763424,-65.09099245,66.37227846,14.35654783,-3.575264712,-42.81547749,9.02125283
182,-65.28190788,-25.14505105,-33.61955853,5.410852664,-67.3264132,79.67805776,23.78542241,-20.72003784,-31.34872351,-7.346303614
183,-58.7912609,-32.93109892,-36.78668721,9.175738155,-72.88784328,57.25957202,3.861380565,-19.50358673,-59.42304659,-3.037557634
184,-38.64795557,-75.45834136,-46.77525781,-14.36724028,-44.24143835,57.7404343,-19.6742646,-8.213164305,-34.99318127,10.95422856
185,-47.30926641,-70.95176836,-31.41645605,-22.31018474,-23.24880354,48.79272407,-14.07624757,-10.93149382,-39.6502135,-9.926229525
186,-43.36304816,-65.81068058,-25.93678447,-15.62210305,-18.31922719,41.55496031,-39.18955534,6.40786534,-36.22743905,13.28408115
187,-45.89528922,-48.83378113,-24.96321153,-23.9562358,-12.18221378,52.10049956,-33.96263243,26.6582335,-54.40199001,25.40022142
188,-22.9573064,-39.6315003,-5.335988048,-22.53743902,-4.06019796,44.95742212,-29.37734419,16.63332801,-21.92726141,37.73610494
189,10.61044516,-31.91764282,-3.764604077,-32.51334058,-14.26218049,43.39844145,-47.98476328,-3.783503812,-2.857088874,25.99875899
190,-15.31476995,7.315807792,-20.85649836,-45.16376445,-13.73753281,47.99229732,-37.10846073,7.409816241,-6.947473748,11.82899425
191,-2.947094983,1.940821244,-47.6895337,-35.52442969,-16.93101105,48.85160801,6.997471542,-7.961218381,-13.76462422,18.03206345
192,-10.38508633,24.08638019,-45.54103446,-40.43530821,-15.15355013,39.10911128,-17.96918009,-5.663534568,-7.967899442,20.77326355
193,-2.090325413,8.732674935,-25.81313728,-57.07121646,-12.50528204,34.06964105,-45.33327845,12.77114389,-5.081208222,43.92562567
194,-7.936054273,-17.29064092,-12.24002357,-21.77195044,-29.61464779,53.37062669,-53.92618063,6.827682669,-7.188635851,27.83059434
195,8.720898916,-13.21216142,-7.672452743,-37.36618972,-25.52890678,52.75585471,-56.19590183,14.70832672,-25.26784619,55.09049453
196,3.394437589,2.006635436,-16.3079791,-17.04001858,-37.19108883,34.35465293,-42.9477151,8.173168169,-29.24862647,24.6127351
197,24.25833016,-2.030544188,-24.22453641,-19.72958949,-50.11706966,39.32256564,-20.8091632,12.67143632,-25.956551,9.229277023
198,30.92360237,-22.66525518,-28.91393328,-14.13619477,-45.84868561,38.26682011,-29.46703126,6.432530925,-35.80723581,16.04824901
199,34.98909863,-48.05941181,-50.14059799,1.201060341,-25.40399972,26.57062554,-0.770612276,22.7950086,-27.68371678,11.8833731
200,27.29572436,-53.59902991,-59.06796377,21.51810034,-49.16127598,23.23963744,11.28805972,9.888400599,-31.06518574,5.206248469
201,25.59851751,-66.30543035,-55.93218495,36.03427522,-38.12209483,9.843454419,9.359220144,0.019719443,-13.10778973,-20.04080175
202,-4.274998144,-71.18177048,-61.43308181,55.25077451,-3.738127068,13.46306805,7.647805845,0.055857601,-12.8262743,-6.299799496
203,-39.12081113,-43.84871315,-73.45069149,49.88932888,-13.8796535,14.87288698,7.08379384,-34.82905452,-28.37979417,2.762502918
204,-27.2201069,-53.37467036,-47.89401637,32.69142162,-7.799998145,-0.92069216,-0.648366232,-28.48075938,-32.15239147,-10.17154861
205,-10.89757297,-62.71364995,-44.17351423,29.31084985,-17.50368818,15.59500659,-16.67793076,-38.95054495,-30.94732972,-4.073218965
206,-13.02111954,-47.35037574,-73.78292169,16.14564119,-2.391149807,19.93081627,-37.38485257,-33.10133817,-31.73457895,-5.539046498
